Model Term,N Model Term,Log-Likelihood,Model Degree of Freedom,Akaike Information Criterion,Bayesian Information Criterion
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'Tenure', 'TotalCharges']",7,-2969.968198405716,11,5961.936396811432,6037.376887644447
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",8,-2969.968198405716,11,5961.936396811432,6037.376887644447
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'Tenure', 'TotalCharges']",8,-2967.5980753356303,12,5959.1961506712605,6041.49486794364
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",9,-2967.5980753356303,12,5959.1961506712605,6041.49486794364
"['Contract', 'InternetService', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",7,-2976.9720761514627,10,5973.944152302925,6042.526416696575
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Tenure', 'TotalCharges']",6,-2977.699523167039,10,5975.399046334078,6043.981310727728
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'Tenure', 'TotalCharges']",7,-2977.699523167039,10,5975.399046334078,6043.981310727728
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Tenure', 'TotalCharges']",7,-2973.7893219514663,11,5969.5786439029325,6045.019134735948
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'Tenure', 'TotalCharges']",8,-2973.7893219514663,11,5969.5786439029325,6045.019134735948
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'SeniorCitizen', 'Tenure', 'TotalCharges']",8,-2969.7150570605218,12,5963.4301141210435,6045.728831393424
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",9,-2969.7150570605218,12,5963.4301141210435,6045.728831393424
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",8,-2969.8705637956555,12,5963.741127591311,6046.0398448636915
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",9,-2969.8705637956555,12,5963.741127591311,6046.0398448636915
"['Contract', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'Tenure', 'TotalCharges']",8,-2969.9455253078013,12,5963.891050615603,6046.189767887983
"['Contract', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",9,-2969.9455253078013,12,5963.891050615603,6046.189767887983
"['Contract', 'Dependents', 'InternetService', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",8,-2974.5512795610484,11,5971.102559122097,6046.543049955112
"['Contract', 'InternetService', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",8,-2976.083506048165,11,5974.16701209633,6049.607502929345
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",9,-2967.4743606130723,13,5960.948721226145,6050.10566493789
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",10,-2967.4743606130723,13,5960.948721226145,6050.10566493789
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'SeniorCitizen', 'Tenure', 'TotalCharges']",9,-2967.573536954752,13,5961.147073909504,6050.304017621249
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",10,-2967.573536954752,13,5961.147073909504,6050.304017621249
"['Contract', 'Dependents', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'Tenure', 'TotalCharges']",9,-2967.576933055826,13,5961.153866111652,6050.310809823397
"['Contract', 'Dependents', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",10,-2967.576933055826,13,5961.153866111652,6050.310809823397
"['Contract', 'InternetService', 'PaperlessBilling', 'PhoneService', 'Tenure', 'TotalCharges']",6,-2985.5808605560105,9,5989.161721112021,6050.8857590663065
"['Contract', 'InternetService', 'PaperlessBilling', 'Partner', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",8,-2976.749343727062,11,5975.498687454124,6050.939178287139
"['Contract', 'Gender', 'InternetService', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",8,-2976.9498133525135,11,5975.899626705027,6051.340117538042
"['Contract', 'Dependents', 'InternetService', 'PaperlessBilling', 'PhoneService', 'Tenure', 'TotalCharges']",7,-2981.4958670984242,10,5982.9917341968485,6051.573998590498
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'Tenure', 'TotalCharges']",7,-2977.536236181375,11,5977.07247236275,6052.512963195765
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'PhoneService', 'Tenure', 'TotalCharges']",8,-2977.536236181375,11,5977.07247236275,6052.512963195765
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'MonthlyCharges', 'Tenure', 'TotalCharges']",7,-2977.6294331152485,11,5977.258866230497,6052.699357063512
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'MonthlyCharges', 'Tenure', 'TotalCharges']",8,-2977.6294331152485,11,5977.258866230497,6052.699357063512
"['Contract', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Tenure', 'TotalCharges']",7,-2977.6742427618,11,5977.3484855236,6052.788976356615
"['Contract', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'Tenure', 'TotalCharges']",8,-2977.6742427618,11,5977.3484855236,6052.788976356615
"['Contract', 'Dependents', 'InternetService', 'PaperlessBilling', 'PhoneService', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",9,-2973.594726256867,12,5971.189452513734,6053.488169786115
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'Tenure', 'TotalCharges']",8,-2973.595514990653,12,5971.191029981306,6053.489747253687
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'PhoneService', 'Tenure', 'TotalCharges']",9,-2973.595514990653,12,5971.191029981306,6053.489747253687
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'MonthlyCharges', 'Tenure', 'TotalCharges']",8,-2973.6871902926423,12,5971.374380585285,6053.673097857665
"['Contract', 'Dependents', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'MonthlyCharges', 'Tenure', 'TotalCharges']",9,-2973.6871902926423,12,5971.374380585285,6053.673097857665
"['Contract', 'Dependents', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Tenure', 'TotalCharges']",8,-2973.7660147127162,12,5971.5320294254325,6053.830746697813
"['Contract', 'Dependents', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'PhoneService', 'Tenure', 'TotalCharges']",9,-2973.7660147127162,12,5971.5320294254325,6053.830746697813
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",9,-2969.6062941099767,13,5965.212588219953,6054.3695319316985
"['Contract', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'PhoneService', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",10,-2969.606294109977,13,5965.212588219954,6054.369531931699
"['Contract', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'SeniorCitizen', 'Tenure', 'TotalCharges']",9,-2969.694436725179,13,5965.388873450358,6054.545817162103
"['Contract', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'Partner', 'PhoneService', 'SeniorCitizen', 'Tenure', 'TotalCharges']",10,-2969.694436725179,13,5965.388873450358,6054.545817162103
"['Contract', 'Gender', 'InternetService', 'MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'MonthlyCharges', 'Tenure', 'TotalCharges']",9,-2969.8496314708063,13,5965.699262941613,6054.856206653358
